username,email,first_name,last_name,role,phone,is_active,date_joined
admin1,admin@rms.com,Ram,Sharma,admin,9800000001,True,2025-01-01
owner_ram,ram.owner@gmail.com,Ram,Bahadur,owner,9801111001,True,2025-01-05
owner_sita,sita.owner@gmail.com,Sita,Thapa,owner,9801111002,True,2025-01-06
owner_hari,hari.owner@gmail.com,Hari,Prasad,owner,9801111003,True,2025-01-10
tenant_bikash,bikash@gmail.com,Bikash,Karki,tenant,9802221001,True,2025-02-01
tenant_sunita,sunita@gmail.com,Sunita,Rai,tenant,9802221002,True,2025-02-03
tenant_rohan,rohan@gmail.com,Rohan,Magar,tenant,9802221003,True,2025-02-05
tenant_priya,priya@gmail.com,Priya,Shrestha,tenant,9802221004,True,2025-02-10
tenant_anil,anil@gmail.com,Anil,Gurung,tenant,9802221005,True,2025-02-12
tenant_maya,maya@gmail.com,Maya,Tamang,tenant,9802221006,True,2025-03-01
